K,silhouette,homogeneity,completeness,v_measure,ARI,config
30,0.032562465451948276,0.3184784605531458,0.31095984459997,0.3146742477897118,0.11114652806981104,TFIDF_NONE
40,0.03434644076883633,0.3465495333375932,0.30442242991134977,0.3241228715803552,0.07431501696909674,TFIDF_NONE
50,0.03579698872715096,0.36899978339097095,0.2952227648905213,0.32801396633864105,0.07020987010772244,TFIDF_NONE
30,0.03838270678336322,0.34082471968494077,0.3310990213894151,0.3358914836751329,0.08711319887705607,TFIDF_BEST_PROCESSED
40,0.045040833231748456,0.3908903591941075,0.3307507959839439,0.35831464577155825,0.08342415342990914,TFIDF_BEST_PROCESSED
50,0.04589017137689427,0.40872179507533934,0.33042685603575106,0.36542759710653966,0.07898321218901154,TFIDF_BEST_PROCESSED
30,0.0042499508076061275,0.26548619541896773,0.34020848022122885,0.2982382335381688,0.16715266668419698,TFIDF_NONE_WEIGHTED
40,0.00939187834953435,0.29461123373954246,0.3250154413624247,0.3090673917433542,0.1409330388972794,TFIDF_NONE_WEIGHTED
50,0.0049212633293058685,0.30291927601512075,0.3361751250139761,0.31868195158508367,0.1944453050447706,TFIDF_NONE_WEIGHTED
30,0.0180673165789648,0.30515138561659555,0.4001421899682466,0.346249981395956,0.19955577601907465,TFIDF_PROCESSED_WEIGHTED
40,0.02093369358920577,0.3248460716398991,0.35773398025966907,0.34049772728065925,0.1391513025415708,TFIDF_PROCESSED_WEIGHTED
50,0.022597597226387107,0.3538969211854027,0.3727469984972805,0.36307746222356824,0.1727932017796777,TFIDF_PROCESSED_WEIGHTED
