K,silhouette,homogeneity,completeness,v_measure,ARI,config
30,0.032562465451948276,0.3184784605531458,0.31095984459997,0.3146742477897118,0.11114652806981104,TFIDF_NONE
40,0.03434644076883633,0.3465495333375932,0.30442242991134977,0.3241228715803552,0.07431501696909674,TFIDF_NONE
50,0.03579698872715096,0.36899978339097095,0.2952227648905213,0.32801396633864105,0.07020987010772244,TFIDF_NONE
30,0.02846140322589394,0.3193280345819431,0.3040705264726295,0.31151256887261713,0.08722685881311412,TFIDF_MINIMAL_PROC
40,0.040102539184095766,0.3436625878013882,0.31437142424939185,0.3283650851166547,0.10276070044253899,TFIDF_MINIMAL_PROC
50,0.04520818773671443,0.35922205891330905,0.30066101153881275,0.3273430473854437,0.07713112735928512,TFIDF_MINIMAL_PROC
30,0.03818218883846918,0.3575910966054348,0.3327535458645272,0.3447255125767723,0.09365943792382803,TFIDF_MEDIUM_PROC
40,0.04408156881704855,0.3801322653435468,0.32969859674574364,0.35312376836549203,0.07380493787617695,TFIDF_MEDIUM_PROC
50,0.048447503435270274,0.4020339020362184,0.32548585333997765,0.35973276796640247,0.06689506705834691,TFIDF_MEDIUM_PROC
30,0.03838270678336322,0.34082471968494077,0.3310990213894151,0.3358914836751329,0.08711319887705607,TFIDF_BEST_PROCESSED
40,0.045040833231748456,0.3908903591941075,0.3307507959839439,0.35831464577155825,0.08342415342990914,TFIDF_BEST_PROCESSED
50,0.04589017137689427,0.40872179507533934,0.33042685603575106,0.36542759710653966,0.07898321218901154,TFIDF_BEST_PROCESSED
30,0.038037951473351726,0.35221394285378677,0.3294499412943513,0.3404518428939243,0.07979039429914703,TFIDF_FULL_PROC
40,0.044029458857399596,0.37661488171364205,0.3223781366184326,0.3473923218269835,0.07091470202457532,TFIDF_FULL_PROC
50,0.050060551424866186,0.39530998867046974,0.3169716090862025,0.35183288067911767,0.06350606355747737,TFIDF_FULL_PROC
